"","X","case_id","year2020","continuous_treat","binary_treat","withdraw_school","agri_hours_worked","cereal_consump","roots_consump","nuts_consump","vegetables_consump","meatfish_consump","fruit_consump","milk_consump","fats_consump","sugar_consump","spices_consump","days_ate","religion","own_nonagri_business","perception_food","perception_housing","perception_clothing","perception_healthcare","floods","urban","district","sdate","smonth","syear","real_annual_consump","health_consump","drugs_consump","outpatient_consump","hospitalization_consump","dist_road","dist_popcenter","wetness_index","annual_mean_temp","annual_precipitation","ill_2wks","year_cont","cant_feed_fam","did","illness_cause_1","illness_cause_2","loss_after_death","loss_value","died_from_illness","stop_activities_past_week","anyone_else_stop_activities","spending_4wks_illnesses","hosp_12mnths","cost_hosp","borrow_sell_fund_treatment","lat","long","binary_treat_nann","site_id","site_type","site_is_health_center","site_accessibility","site_number_of_IDPs","binary_treat_nann_4km","site_id_of_nearest_4km","binary_treat_nann_3km","site_id_of_nearest_3km","binary_treat_nann_2km","site_id_of_nearest_2km","binary_treat_nann_6km","site_id_of_nearest_6km","binary_treat_nann_7km","site_id_of_nearest_7km","binary_treat_nann_10km","site_id_of_nearest_10km","hh_size","highest_educ"
"1",1,303015670023,0,0,0,0,15,7,3,0,5,4,0,0,5,5,7,7,"islam",0,"It was more than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Zomba Non-City",26,"September",2016,714251.75,31787.849609375,24308.35546875,1246.58227539062,6232.91162109375,9,23,15,226,1191,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-15.268513,35.49244,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,"ZO_020",4,NA
"2",2,303015670046,0,0,0,0,8,7,2,3,7,7,6,0,7,7,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",2,0,0,"Zomba Non-City",26,"September",2016,534325.0625,1350.46411132812,1350.46411132812,0,0,9,23,15,226,1191,1,2016,1,0,NA,NA,0,NA,0,24,NA,0,0,NA,NA,-15.268513,35.49244,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,"ZO_020",4,NA
"3",3,303015670069,0,0,0,0,40,7,0,1,7,0,0,0,0,NA,7,5,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",2,0,0,"Zomba Non-City",26,"September",2016,365801.53125,0,0,0,0,9,23,14,226,1191,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-15.268513,35.49244,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,"ZO_020",3,NA
"4",4,303015670093,0,0,0,0,56,7,1,4,4,4,2,0,7,7,7,7,"islam",0,"It was less than adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",3,0,0,"Zomba Non-City",26,"September",2016,1031178.25,405.139251708984,405.139251708984,0,0,9,23,14,226,1191,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-15.268513,35.49244,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,"ZO_020",4,NA
"5",5,303015670116,0,0,0,0,5,7,4,0,5,3,3,0,7,7,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Zomba Non-City",25,"September",2016,323226.0625,0,0,0,0,9,23,15,227,1193,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-15.268513,35.49244,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,"ZO_020",1,NA
"6",6,303015670139,0,0,0,0,30,7,1,2,7,3,0,4,5,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",2,0,0,"Zomba Non-City",26,"September",2016,1011700.125,0,0,0,0,10,24,13,227,1193,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-15.268513,35.49244,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,"ZO_020",4,NA
"7",7,303015670162,0,0,0,1,6,7,1,2,2,2,1,0,1,7,7,6.4,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Zomba Non-City",27,"September",2016,519189.78125,0,0,0,0,9,23,15,226,1191,1,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-15.268513,35.49244,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,"ZO_020",5,NA
"8",8,303015670185,0,0,0,0,14,7,4,0,5,2,0,0,0,0,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Zomba Non-City",27,"September",2016,209706.96875,0,0,0,0,9,23,15,226,1191,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,0,NA,NA,-15.268513,35.49244,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,"ZO_020",1,NA
"9",9,303015670209,0,0,0,0,24,7,2,0,4,2,1,0,4,0,4,7,"christianity",0,"It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",3,0,0,"Zomba Non-City",27,"September",2016,506474.875,3635.86499023438,0,0,3635.86499023438,10,23,14,227,1197,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,1,NA,0,-15.268513,35.49244,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,"ZO_020",3,NA
"10",10,303015670232,0,0,0,0,0,7,0,0,6,1,0,0,0,0,7,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",2,0,0,"Zomba Non-City",25,"September",2016,254265.296875,62329.11328125,0,0,62329.11328125,10,23,15,227,1197,0,2016,1,0,NA,NA,0,NA,0,NA,NA,0,1,0,1,-15.268513,35.49244,FALSE,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,"ZO_020",1,NA
