"","case_id","continuous_treat","binary_treat"
"1","303015670023",0,0
"2","303015670046",0,0
"3","303015670069",0,0
"4","303015670093",0,0
"5","303015670116",0,0
"6","303015670139",0,0
"7","303015670162",0,0
"8","303015670185",0,0
"9","303015670209",0,0
"10","303015670232",0,0
"11","303015670255",0,0
"12","303015670324",0,0
"13","303015670394",0,0
"14","303015670417",0,0
"15","303015670440",0,0
"16","303015670486",0,0
"17","303015680013",0,0
"18","303015680026",0,0
"19","303015680039",0,0
"20","303015680053",0,0
"21","303015680066",0,0
"22","303015680079",0,0
"23","303015680092",0,0
"24","303015680106",0,0
"25","303015680119",0,0
"26","303015680132",0,0
"27","303015680145",0,0
"28","303015680159",0,0
"29","303015680172",0,0
"30","303015680185",0,0
"31","303015680198",0,0
"32","303015680212",0,0
"33","303015690007",0,0
"34","303015690014",0,0
"35","303015690021",0,0
"36","303015690036",0,0
"37","303015690042",0,0
"38","303015690049",0,0
"39","303015690064",0,0
"40","303015690071",0,0
"41","303015690078",0,0
"42","303015690093",0,0
"43","303015690100",0,0
"44","303015690107",0,0
"45","303015690120",0,0
"46","303015690127",0,0
"47","303015690134",0,0
"48","303015690148",0,0
"49","303025700006",0,0
"50","303025700017",0,0
"51","303025700033",0,0
"52","303025700086",0,0
"53","303025700103",0,0
"54","303025700113",0,0
"55","303025700140",0,0
"56","303025700167",0,0
"57","303025700220",0,0
"58","303025700247",0,0
"59","303025700274",0,0
"60","303025700300",0,0
"61","303025700327",0,0
"62","303025700354",0,0
"63","303025700381",0,0
"64","303025700407",0,0
"65","303025710010",1,1
"66","303025710021",1,1
"67","303025710031",1,1
"68","303025710052",1,1
"69","303025710063",1,1
"70","303025710073",1,1
"71","303025710094",1,1
"72","303025710105",1,1
"73","303025710115",1,1
"74","303025710136",1,1
"75","303025710147",1,1
"76","303025710157",1,1
"77","303025710178",1,1
"78","303025710188",1,1
"79","303025710198",1,1
"80","303025710219",1,1
"81","303025720014",9,1
"82","303025720016",9,1
"83","303025720042",9,1
"84","303025720069",9,1
"85","303025720096",9,1
"86","303025720124",9,1
"87","303025720151",9,1
"88","303025720179",9,1
"89","303025720206",9,1
"90","303025720233",9,1
"91","303025720261",9,1
"92","303025720288",9,1
"93","303025720343",9,1
"94","303025720370",9,1
"95","303025720398",9,1
"96","303025720425",9,1
"97","303025730018",4,1
"98","303025730037",4,1
"99","303025730055",4,1
"100","303025730094",4,1
"101","303025730112",4,1
"102","303025730130",4,1
"103","303025730151",4,1
"104","303025730187",4,1
"105","303025730206",4,1
"106","303025730226",4,1
"107","303025730244",4,1
"108","303025730263",4,1
"109","303025730318",4,1
"110","303025730336",4,1
"111","303025730354",4,1
"112","303025730391",4,1
"113","303025740010",6,1
"114","303025740020",6,1
"115","303025740029",6,1
"116","303025740039",6,1
"117","303025740049",6,1
"118","303025740059",6,1
"119","303025740069",6,1
"120","303025740079",6,1
"121","303025740089",6,1
"122","303025740099",6,1
"123","303025740108",6,1
"124","303025740118",6,1
