"","case_id","year2020","continuous_treat","binary_treat","withdraw_school","agri_hours_worked","cereal_consump","roots_consump","nuts_consump","vegetables_consump","meatfish_consump","fruit_consump","milk_consump","fats_consump","sugar_consump","spices_consump","days_ate","religion","own_nonagri_business","perception_food","perception_housing","perception_clothing","perception_healthcare","floods","urban","district","sdate","smonth","syear","real_annual_consump","health_consump","drugs_consump","outpatient_consump","hospitalization_consump","lat","lon","dist_road","dist_popcenter","wetness_index","annual_mean_temp","annual_precipitation","ill_2wks","year_cont","cant_feed_fam"
"1","303015670023",0,0,0,0,15,7,3,0,5,4,0,0,5,5,7,7,"islam",0,"It was more than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",26,"September",2016,714251.75,31787.849609375,24308.35546875,1246.58227539062,6232.91162109375,-15.268513,35.49244,9,23,15,226,1191,1,2016,1
"2","303015670046",0,0,0,0,8,7,2,3,7,7,6,0,7,7,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",26,"September",2016,534325.0625,1350.46411132812,1350.46411132812,0,0,-15.268513,35.49244,9,23,15,226,1191,1,2016,1
"3","303015670069",0,0,0,0,40,7,0,1,7,0,0,0,0,NA,7,5,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",26,"September",2016,365801.53125,0,0,0,0,-15.268513,35.49244,9,23,14,226,1191,1,2016,1
"4","303015670093",0,0,0,0,56,7,1,4,4,4,2,0,7,7,7,7,"islam",0,"It was less than adequate for household needs","It was just adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",26,"September",2016,1031178.25,405.139251708984,405.139251708984,0,0,-15.268513,35.49244,9,23,14,226,1191,0,2016,1
"5","303015670116",0,0,0,0,5,7,4,0,5,3,3,0,7,7,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",25,"September",2016,323226.0625,0,0,0,0,-15.268513,35.49244,9,23,15,227,1193,0,2016,1
"6","303015670139",0,0,0,0,30,7,1,2,7,3,0,4,5,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",26,"September",2016,1011700.125,0,0,0,0,-15.268513,35.49244,10,24,13,227,1193,0,2016,1
"7","303015670162",0,0,0,1,6,7,1,2,2,2,1,0,1,7,7,6.4,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",27,"September",2016,519189.78125,0,0,0,0,-15.268513,35.49244,9,23,15,226,1191,1,2016,1
"8","303015670185",0,0,0,0,14,7,4,0,5,2,0,0,0,0,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",27,"September",2016,209706.96875,0,0,0,0,-15.268513,35.49244,9,23,15,226,1191,0,2016,1
"9","303015670209",0,0,0,0,24,7,2,0,4,2,1,0,4,0,4,7,"christianity",0,"It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",27,"September",2016,506474.875,3635.86499023438,0,0,3635.86499023438,-15.268513,35.49244,10,23,14,227,1197,0,2016,1
"10","303015670232",0,0,0,0,0,7,0,0,6,1,0,0,0,0,7,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",25,"September",2016,254265.296875,62329.11328125,0,0,62329.11328125,-15.268513,35.49244,10,23,15,227,1197,0,2016,1
"11","303015670255",0,0,0,1,41,7,1,0,7,2,7,0,0,0,7,3.44444444444444,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",1,0,"Zomba Non-City",27,"September",2016,847516.6875,9048.109375,7697.6455078125,1350.46411132812,0,-15.268513,35.49244,9,23,13,227,1197,1,2016,1
"12","303015670324",0,0,0,0,18,7,0,0,7,4,7,0,6,0,7,7,"christianity",1,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",1,0,"Zomba Non-City",25,"September",2016,550618.125,6752.32080078125,6752.32080078125,0,0,-15.268513,35.49244,10,24,14,227,1193,1,2016,1
"13","303015670394",0,0,0,0,7,7,0,1,7,2,7,0,7,0,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",28,"September",2016,514917.65625,0,0,0,0,-15.268513,35.49244,11,24,19,227,1196,1,2016,1
"14","303015670417",0,0,0,0,0,7,1,1,7,1,1,0,3,2,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was more than adequate for household needs",0,0,"Zomba Non-City",28,"September",2016,957677.625,114114.2265625,14179.8740234375,99934.3515625,0,-15.268513,35.49244,10,24,16,227,1198,1,2016,1
"15","303015670440",0,0,0,1,9,3,0,0,6,1,0,0,0,0,6,3,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",25,"September",2016,322019.78125,1350.46411132812,1350.46411132812,0,0,-15.268513,35.49244,10,24,14,227,1198,1,2016,1
"16","303015670486",0,0,0,1,0,7,1,1,3,1,0,0,0,1,5,5.71428571428571,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",26,"September",2016,472137.75,3376.16040039062,3376.16040039062,0,0,-15.268513,35.49244,11,24,13,227,1196,1,2016,1
"17","303015680013",0,0,0,1,45,7,3,1,7,2,2,0,7,1,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",27,"March",2017,621983.375,21471.626953125,21471.626953125,0,0,-15.331859,35.457338,8,18,13,223,1247,1,2016,1
"18","303015680026",0,0,0,0,36,7,0,7,7,2,7,7,1,2,7,7,"christianity",0,"It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",29,"March",2017,413110.125,3303.3271484375,0,0,3303.3271484375,-15.331859,35.457338,8,18,13,224,1243,1,2016,1
"19","303015680039",0,0,0,0,15,7,0,3,4,3,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",1,0,"Zomba Non-City",28,"March",2017,241022.1875,0,0,0,0,-15.331859,35.457338,8,18,13,224,1243,1,2016,1
"20","303015680053",0,0,0,0,20,6,1,3,7,4,2,0,0,2,7,6.375,"christianity",0,"It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",27,"March",2017,925589.5625,5030.4951171875,5030.4951171875,0,0,-15.331859,35.457338,8,18,13,224,1243,1,2016,1
"21","303015680066",0,0,0,1,12,5,0,7,7,3,2,0,3,3,7,5.25,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",30,"March",2017,806230.6875,14723.4013671875,14723.4013671875,0,0,-15.331859,35.457338,8,18,13,224,1243,1,2016,1
"22","303015680079",0,0,0,0,15,7,0,0,5,4,0,0,3,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",30,"March",2017,573059.9375,10193.1240234375,7361.70068359375,0,2831.42333984375,-15.331859,35.457338,8,18,13,224,1243,1,2016,1
"23","303015680092",0,0,0,1,17,7,0,2,5,2,4,0,0,0,7,5.5,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",29,"March",2017,866873.25,9815.6005859375,9815.6005859375,0,0,-15.331859,35.457338,8,18,13,224,1243,1,2016,1
"24","303015680106",0,0,0,0,27,7,4,0,7,4,0,0,2,2,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",29,"March",2017,421776.5625,858.865051269531,858.865051269531,0,0,-15.331859,35.457338,8,18,13,223,1243,0,2016,1
"25","303015680119",0,0,0,0,19,7,0,2,5,5,0,0,5,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",27,"March",2017,585053.625,6134.75048828125,6134.75048828125,0,0,-15.331859,35.457338,8,18,12,223,1243,1,2016,1
"26","303015680132",0,0,0,0,38,7,0,4,5,2,0,0,7,2,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",27,"March",2017,704599.8125,9202.1259765625,9202.1259765625,0,0,-15.331859,35.457338,7,18,14,223,1243,1,2016,1
"27","303015680145",0,0,0,0,68,7,0,4,5,3,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",28,"March",2017,689975.3125,0,0,0,0,-15.331859,35.457338,8,18,14,223,1243,1,2016,0
"28","303015680159",0,0,0,0,13,7,0,3,5,3,3,0,5,7,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",28,"March",2017,522319.5625,20291.8671875,6134.75048828125,0,14157.1162109375,-15.331859,35.457338,7,18,13,223,1243,1,2016,1
"29","303015680172",0,0,0,0,10,7,0,3,7,6,0,0,6,2,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",27,"March",2017,543941.3125,6134.75048828125,6134.75048828125,0,0,-15.331859,35.457338,7,18,13,223,1243,1,2016,1
"30","303015680185",0,0,0,0,0,7,0,1,7,1,0,0,4,0,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",27,"March",2017,205462.5,0,0,0,0,-15.331859,35.457338,7,17,14,223,1243,1,2016,1
"31","303015680198",0,0,0,0,0,7,0,3,7,3,0,0,4,0,7,5.6,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",28,"March",2017,428981.625,0,0,0,0,-15.331859,35.457338,7,18,14,223,1243,1,2016,1
"32","303015680212",0,0,0,0,0,7,2,4,7,5,2,0,6,7,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",27,"March",2017,398251.8125,3680.85034179688,3680.85034179688,0,0,-15.331859,35.457338,8,18,12,223,1243,0,2016,0
"33","303015690007",0,0,0,0,0,7,3,2,7,0,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",18,"May",2016,496839.46875,1120.16760253906,1120.16760253906,0,0,-15.389976,35.363563,2,9,15,218,1260,1,2016,1
"34","303015690014",0,0,0,0,0,7,0,5,7,7,0,0,4,7,7,7,"christianity",1,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",19,"May",2016,882578.5625,7565.43994140625,5460.8173828125,488.996246337891,1615.62634277344,-15.389976,35.363563,2,9,12,218,1260,1,2016,1
"35","303015690021",0,0,0,0,9,7,3,3,7,4,2,0,5,7,7,7,"christianity",0,"It was more than adequate for household needs","It was more than adequate for household needs","It was more than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",20,"May",2016,799068,43406.49609375,1400.20959472656,42006.28515625,0,-15.389976,35.363563,2,8,15,218,1260,0,2016,0
"36","303015690036",0,0,0,0,0,7,3,4,7,3,6,7,5,5,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",20,"May",2016,693196.0625,2800.41918945312,2800.41918945312,0,0,-15.389976,35.363563,2,9,12,218,1260,1,2016,1
"37","303015690042",0,0,0,1,0,7,7,7,7,2,2,0,7,7,7,4,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",20,"May",2016,765162.5625,0,0,0,0,-15.389976,35.363563,2,9,13,218,1260,1,2016,1
"38","303015690049",0,0,0,1,1,7,3,3,7,3,1,0,7,7,7,7,"christianity",1,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",19,"May",2016,1628691.75,22403.3515625,14002.095703125,8401.2568359375,0,-15.389976,35.363563,2,9,12,218,1260,1,2016,1
"39","303015690064",0,0,0,0,24,7,3,7,7,5,2,7,7,7,7,7,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",20,"May",2016,3839734,27304.0859375,27304.0859375,0,0,-15.389976,35.363563,3,9,12,218,1260,1,2016,1
"40","303015690071",0,0,0,1,56,7,1,3,7,3,6,5,7,7,5,7,"islam",0,"It was just adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs",1,0,"Zomba Non-City",23,"May",2016,2532813.75,53207.9609375,53207.9609375,0,0,-15.389976,35.363563,2,8,14,215,1270,1,2016,0
"41","303015690078",0,0,0,0,0,7,3,2,4,0,1,4,7,7,7,7,"christianity",0,"It was more than adequate for household needs","It was more than adequate for household needs","It was more than adequate for household needs","It was more than adequate for household needs",0,0,"Zomba Non-City",20,"May",2016,639776.1875,32969.55078125,30384.546875,0,2585.00219726562,-15.389976,35.363563,2,8,13,216,1263,1,2016,1
"42","303015690093",0,0,0,0,0,7,2,2,7,0,2,0,7,7,7,7,"christianity",0,"It was more than adequate for household needs","It was just adequate for household needs","It was more than adequate for household needs","It was more than adequate for household needs",0,0,"Zomba Non-City",23,"May",2016,983634.375,104735.671875,33605.02734375,71130.6484375,0,-15.389976,35.363563,2,8,12,216,1263,1,2016,1
"43","303015690100",0,0,0,1,14,7,1,2,7,1,2,0,7,1,7,7,"christianity",0,"It was more than adequate for household needs","It was more than adequate for household needs","It was more than adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",21,"May",2016,1039946.1875,132179.78125,36965.53125,74211.109375,21003.142578125,-15.389976,35.363563,2,8,13,216,1263,1,2016,1
"44","303015690107",0,0,0,0,0,7,1,2,7,0,3,0,7,3,7,7,"none",1,"It was more than adequate for household needs","It was more than adequate for household needs","It was more than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",19,"May",2016,868268.625,44806.70703125,44806.70703125,0,0,-15.389976,35.363563,2,8,13,218,1260,1,2016,1
"45","303015690120",0,0,0,1,0,7,2,4,7,7,5,1,7,7,7,7,"islam",1,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",21,"May",2016,1643622.125,57473.21484375,54188.109375,0,3285.10693359375,-15.389976,35.363563,2,8,13,218,1260,1,2016,1
"46","303015690127",0,0,0,0,0,7,3,2,7,5,4,0,7,7,7,6.75,"christianity",0,"It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",23,"May",2016,1108223.5,57408.59375,8401.2568359375,49007.3359375,0,-15.389976,35.363563,2,8,13,216,1263,1,2016,0
"47","303015690134",0,0,0,0,0,7,1,3,7,3,1,0,3,4,7,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",20,"May",2016,692370.1875,7281.08984375,7281.08984375,0,0,-15.389976,35.363563,2,8,13,216,1269,1,2016,1
"48","303015690148",0,0,0,0,0,7,1,3,7,5,1,0,7,2,7,7,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",21,"May",2016,675883.25,23859.5703125,23859.5703125,0,0,-15.389976,35.363563,2,8,12,218,1260,1,2016,1
"49","303025700006",0,0,0,1,3,5,0,2,5,2,0,0,3,1,7,5,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",25,"January",2017,418923.5625,22629.900390625,0,22629.900390625,0,-15.38839,35.467089,10,16,13,221,1291,1,2016,1
"50","303025700017",0,0,0,0,0,7,0,0,7,2,0,0,0,0,7,4.66666666666667,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",27,"January",2017,292230.8125,0,0,0,0,-15.38839,35.467089,10,16,13,222,1288,1,2016,1
"51","303025700033",0,0,0,0,9,7,0,0,7,0,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",26,"January",2017,135112.0625,0,0,0,0,-15.38839,35.467089,10,16,13,222,1288,0,2016,1
"52","303025700086",0,0,0,0,84,7,0,1,7,3,1,0,7,4,7,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",27,"January",2017,659466,4023.09350585938,4023.09350585938,0,0,-15.38839,35.467089,10,16,13,222,1284,1,2016,1
"53","303025700103",0,0,0,1,7,7,0,6,7,7,3,0,7,4,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",23,"April",2017,1102859.25,3904.56323242188,3904.56323242188,0,0,-15.38839,35.467089,9,16,14,222,1284,1,2016,1
"54","303025700113",0,0,0,0,10,7,0,0,4,1,0,0,4,2,7,7,"christianity",0,"It was just adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",24,"January",2017,314679.34375,5028.86669921875,5028.86669921875,0,0,-15.38839,35.467089,9,16,20,221,1280,1,2016,1
"55","303025700140",0,0,0,0,3,7,1,2,7,2,0,0,3,0,7,7,"christianity",0,"It was less than adequate for household needs","It was more than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",25,"January",2017,380362.46875,754.330017089844,754.330017089844,0,0,-15.38839,35.467089,11,16,14,222,1288,1,2016,1
"56","303025700167",0,0,0,0,7,7,0,1,3,0,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,0,"Zomba Non-City",25,"January",2017,259417.5,4148.8154296875,4148.8154296875,0,0,-15.38839,35.467089,11,17,13,222,1290,1,2016,1
"57","303025700220",0,0,0,0,19,7,0,3,5,1,0,0,0,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",27,"January",2017,326242.46875,0,0,0,0,-15.38839,35.467089,11,17,13,222,1285,1,2016,1
"58","303025700247",0,0,0,0,45,7,0,3,6,4,0,0,7,6,7,4.83333333333333,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",25,"January",2017,1092242.875,3872.2275390625,3771.65014648438,100.577339172363,0,-15.38839,35.467089,10,17,15,222,1285,1,2016,1
"59","303025700274",0,0,0,0,15,7,0,0,7,2,4,0,3,3,7,7,"christianity",0,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,0,"Zomba Non-City",24,"January",2017,417529.65625,5154.58837890625,5154.58837890625,0,0,-15.38839,35.467089,10,15,14,221,1289,1,2016,1
