"","case_id","year2020","continuous_treat","binary_treat","withdraw_school","agri_hours_worked","cereal_consump","roots_consump","nuts_consump","vegetables_consump","meatfish_consump","fruit_consump","milk_consump","fats_consump","sugar_consump","spices_consump","days_ate","religion","own_nonagri_business","perception_food","perception_housing","perception_clothing","perception_healthcare","floods","urban","district","sdate","smonth","syear","poor","upoor","real_annual_consump","real_annual_consump_pc","health_consump","drugs_consump","outpatient_consump","hospitalization_consump","lat","lon","dist_road","dist_popcenter","wetness_index","annual_mean_temp","annual_precipitation","popdensity","ill_2wks","cant_feed_fam"
"1","303015670023",0,0,0,0,15,7,3,0,5,4,0,0,5,5,7,7,"islam",0,"It was more than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",26,"September",2016,0,0,714251.75,178562.9375,31787.849609375,24308.35546875,1246.58227539062,6232.91162109375,-15.268513,35.49244,9,23,15,226,1191,250,1,1
"2","303015670046",0,0,0,0,8,7,2,3,7,7,6,0,7,7,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",26,"September",2016,1,0,534325.0625,133581.265625,1350.46411132812,1350.46411132812,0,0,-15.268513,35.49244,9,23,15,226,1191,250,1,1
"3","303015670069",0,0,0,0,40,7,0,1,7,0,0,0,0,NA,7,5,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",26,"September",2016,1,0,365801.53125,121933.84375,0,0,0,0,-15.268513,35.49244,9,23,14,226,1191,250,1,1
"4","303015670093",0,0,0,0,56,7,1,4,4,4,2,0,7,7,7,7,"islam",0,"It was less than adequate for household needs","It was just adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",26,"September",2016,0,0,1031178.25,257794.5625,405.139251708984,405.139251708984,0,0,-15.268513,35.49244,9,23,14,226,1191,250,0,1
"5","303015670116",0,0,0,0,5,7,4,0,5,3,3,0,7,7,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",25,"September",2016,0,0,323226.0625,323226.0625,0,0,0,0,-15.268513,35.49244,9,23,15,227,1193,150,0,1
"6","303015670139",0,0,0,0,30,7,1,2,7,3,0,4,5,0,7,7,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",26,"September",2016,0,0,1011700.125,252925.03125,0,0,0,0,-15.268513,35.49244,10,24,13,227,1193,150,0,1
"7","303015670162",0,0,0,1,6,7,1,2,2,2,1,0,1,7,7,6.4,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",27,"September",2016,1,0,519189.78125,103837.953125,0,0,0,0,-15.268513,35.49244,9,23,15,226,1191,250,1,1
"8","303015670185",0,0,0,0,14,7,4,0,5,2,0,0,0,0,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",27,"September",2016,0,0,209706.96875,209706.96875,0,0,0,0,-15.268513,35.49244,9,23,15,226,1191,250,0,1
"9","303015670209",0,0,0,0,24,7,2,0,4,2,1,0,4,0,4,7,"christianity",0,"It was just adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs",0,"rural","Zomba Non-City",27,"September",2016,0,0,506474.875,168824.953125,3635.86499023438,0,0,3635.86499023438,-15.268513,35.49244,10,23,14,227,1197,150,0,1
"10","303015670232",0,0,0,0,0,7,0,0,6,1,0,0,0,0,7,7,"christianity",0,"It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",25,"September",2016,0,0,254265.296875,254265.296875,62329.11328125,0,0,62329.11328125,-15.268513,35.49244,10,23,15,227,1197,150,0,1
"11","303015670255",0,0,0,1,41,7,1,0,7,2,7,0,0,0,7,3.44444444444444,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",1,"rural","Zomba Non-City",27,"September",2016,1,0,847516.6875,94168.5234375,9048.109375,7697.6455078125,1350.46411132812,0,-15.268513,35.49244,9,23,13,227,1197,150,1,1
"12","303015670324",0,0,0,0,18,7,0,0,7,4,7,0,6,0,7,7,"christianity",1,"It was less than adequate for household needs","It was just adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",1,"rural","Zomba Non-City",25,"September",2016,1,1,550618.125,68827.265625,6752.32080078125,6752.32080078125,0,0,-15.268513,35.49244,10,24,14,227,1193,150,1,1
"13","303015670394",0,0,0,0,7,7,0,1,7,2,7,0,7,0,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",28,"September",2016,0,0,514917.65625,171639.21875,0,0,0,0,-15.268513,35.49244,11,24,19,227,1196,250,1,1
"14","303015670417",0,0,0,0,0,7,1,1,7,1,1,0,3,2,7,7,"islam",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was more than adequate for household needs",0,"rural","Zomba Non-City",28,"September",2016,0,0,957677.625,159612.9375,114114.2265625,14179.8740234375,99934.3515625,0,-15.268513,35.49244,10,24,16,227,1198,250,1,1
"15","303015670440",0,0,0,1,9,3,0,0,6,1,0,0,0,0,6,3,"christianity",0,"It was less than adequate for household needs","It was less than adequate for household needs","It was less than adequate for household needs","It was just adequate for household needs",0,"rural","Zomba Non-City",25,"September",2016,1,1,322019.78125,80504.9453125,1350.46411132812,1350.46411132812,0,0,-15.268513,35.49244,10,24,14,227,1198,250,1,1
