"","case_id","continuous_treat","binary_treat","religion","days_ate","withdraw_school","ill_2wks","agri_hours_worked","cereal_consump","roots_consump","nuts_consump","vegetables_consump","meatfish_consump","fruit_consump","milk_consump","fats_consump","sugar_consump","spices_consump","cant_feed_fam","own_nonagri_business","perception_food","perception_housing","perception_clothing","perception_healthcare","floods","real_annual_consump","health_consump","drugs_consump","outpatient_consump","hospitalization_consump","lat","lon","dist_road","dist_popcenter","wetness_index","annual_mean_temp","annual_precipitation","year2020","urban","district","sdate","smonth","syear"
"1","303015540015",0,0,"islam",7,0,1,55,7,1,0,5,2,6,0,1,2,7,0,0,1,2,1,1,0,110906.671875,0,0,0,0,-15.3579998016357,35.4216995239258,4.1100001335144,13.1400003433228,13,220,1258,0,"rural","Zomba",28,1,2011
"2","303015540027",0,0,"islam",7,0,0,16,7,0,0,7,2,2,0,0,7,7,0,0,2,2,2,2,0,86978.546875,0,0,0,0,-15.3579998016357,35.4216995239258,5.92000007629395,13.6800003051758,12,222,1262,0,"rural","Zomba",28,1,2011
"3","303015540040",0,0,"islam",7,0,0,18,7,0,0,7,4,7,0,3,0,7,0,0,2,1,2,2,0,119914,0,0,0,0,-15.3579998016357,35.4216995239258,3.94000005722046,13.0799999237061,13,220,1258,0,"rural","Zomba",28,1,2011
"4","303015540053",0,0,"islam",7,0,1,8,7,0,2,7,4,7,0,3,7,7,1,0,1,1,1,1,0,235299.875,2153.99609375,0,2153.99609375,0,-15.3579998016357,35.4216995239258,3.78999996185303,12.9700002670288,15,219,1256,0,"rural","Zomba",28,1,2011
"5","303015540079",0,0,"christianity",7,0,1,48,7,2,0,7,1,7,0,0,0,7,1,0,1,1,1,1,0,72222.2265625,1267.05651855469,0,1267.05651855469,0,-15.3579998016357,35.4216995239258,4.09999990463257,12.8599996566772,13,221,1257,0,"rural","Zomba",31,1,2011
"6","303015540092",0,0,"islam",7,0,1,60,7,0,0,6,4,7,0,1,0,7,0,0,2,1,2,2,0,88817.625,2280.70190429688,2280.70190429688,0,0,-15.3579998016357,35.4216995239258,3.41000008583069,12.6999998092651,13,219,1256,0,"rural","Zomba",28,1,2011
"7","303015540105",0,0,"islam",7,0,0,90,7,0,2,7,2,7,0,0,0,7,0,0,1,2,1,1,0,43728.4765625,0,0,0,0,-15.3579998016357,35.4216995239258,2.42000007629395,11.8000001907349,16,218,1260,0,"rural","Zomba",28,1,2011
"8","303015540117",0,0,"christianity",7,0,0,27,7,2,0,7,2,7,0,2,0,7,0,0,2,2,2,2,0,153693.046875,5068.22607421875,5068.22607421875,0,0,-15.3579998016357,35.4216995239258,2.64000010490417,12.039999961853,13,218,1260,0,"rural","Zomba",28,1,2011
"9","303015540143",0,0,"christianity",7,0,1,27,7,0,2,7,7,7,0,7,7,7,0,0,2,2,2,2,0,252626.484375,1900.58483886719,1900.58483886719,0,0,-15.3579998016357,35.4216995239258,2.49000000953674,11.6499996185303,12,218,1260,0,"rural","Zomba",31,1,2011
"10","303015540156",0,0,"christianity",0,0,0,0,7,0,0,7,4,6,0,4,2,7,1,0,2,2,2,2,0,95881.4140625,0,0,0,0,-15.3579998016357,35.4216995239258,2.9300000667572,12.3100004196167,18,219,1256,0,"rural","Zomba",28,1,2011
